,run,timestep,task_type,block_movement,sensory_state,surprisal
0,14,1,avoid,-1,00,0.587786664902119
1,14,1,avoid,-1,01,1.9740810260220096
2,14,1,avoid,-1,10,1.9740810260220096
3,14,1,avoid,-1,11,1.791759469228055
4,14,1,avoid,1,00,0.587786664902119
5,14,1,avoid,1,01,1.9740810260220096
6,14,1,avoid,1,10,1.9740810260220096
7,14,1,avoid,1,11,1.791759469228055
8,14,1,catch,-1,00,0.587786664902119
9,14,1,catch,-1,01,1.9740810260220096
10,14,1,catch,-1,10,1.9740810260220096
11,14,1,catch,-1,11,1.791759469228055
12,14,1,catch,1,00,0.587786664902119
13,14,1,catch,1,01,1.9740810260220096
14,14,1,catch,1,10,1.9740810260220096
15,14,1,catch,1,11,1.791759469228055
16,14,2,avoid,-1,00,0.587786664902119
17,14,2,avoid,-1,01,1.9740810260220096
18,14,2,avoid,-1,10,1.9740810260220096
19,14,2,avoid,-1,11,1.791759469228055
20,14,2,avoid,1,00,0.587786664902119
21,14,2,avoid,1,01,1.9740810260220096
22,14,2,avoid,1,10,1.9740810260220096
23,14,2,avoid,1,11,1.791759469228055
24,14,2,catch,-1,00,0.587786664902119
25,14,2,catch,-1,01,1.9740810260220096
26,14,2,catch,-1,10,1.9740810260220096
27,14,2,catch,-1,11,1.791759469228055
28,14,2,catch,1,00,0.587786664902119
29,14,2,catch,1,01,1.9740810260220096
30,14,2,catch,1,10,1.9740810260220096
31,14,2,catch,1,11,1.791759469228055
32,14,3,avoid,-1,00,0.587786664902119
33,14,3,avoid,-1,01,1.9740810260220096
34,14,3,avoid,-1,10,1.9740810260220096
35,14,3,avoid,-1,11,1.791759469228055
36,14,3,avoid,1,00,0.587786664902119
37,14,3,avoid,1,01,1.9740810260220096
38,14,3,avoid,1,10,1.6376087894007967
39,14,3,avoid,1,11,2.1972245773362196
40,14,3,catch,-1,00,0.587786664902119
41,14,3,catch,-1,01,1.9740810260220096
42,14,3,catch,-1,10,1.9740810260220096
43,14,3,catch,-1,11,1.791759469228055
44,14,3,catch,1,00,0.587786664902119
45,14,3,catch,1,01,1.9740810260220096
46,14,3,catch,1,10,1.6376087894007967
47,14,3,catch,1,11,2.1972245773362196
48,14,4,avoid,-1,00,0.587786664902119
49,14,4,avoid,-1,01,1.9740810260220096
50,14,4,avoid,-1,10,1.9740810260220096
51,14,4,avoid,-1,11,1.791759469228055
52,14,4,avoid,1,00,0.587786664902119
53,14,4,avoid,1,01,1.9740810260220096
54,14,4,avoid,1,10,1.6376087894007967
55,14,4,avoid,1,11,2.1972245773362196
56,14,4,catch,-1,00,0.587786664902119
57,14,4,catch,-1,01,1.9740810260220096
58,14,4,catch,-1,10,1.9740810260220096
59,14,4,catch,-1,11,1.791759469228055
60,14,4,catch,1,00,0.6390799592896695
61,14,4,catch,1,01,1.9740810260220096
62,14,4,catch,1,10,1.6376087894007967
63,14,4,catch,1,11,1.9740810260220096
64,14,5,avoid,-1,00,0.587786664902119
65,14,5,avoid,-1,01,1.9740810260220096
66,14,5,avoid,-1,10,1.9740810260220096
67,14,5,avoid,-1,11,1.791759469228055
68,14,5,avoid,1,00,0.587786664902119
69,14,5,avoid,1,01,2.1972245773362196
